GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api,io.github.redouanebali.dto.request,CreateTournamentRequest,27,0,0,0,9,0,9,0,9,0
api,io.github.redouanebali.dto.request,UpdatePlayerPairRequest,41,0,16,0,4,0,9,0,1,0
api,io.github.redouanebali.dto.request,PlayerPairRequest,14,60,8,8,5,15,8,5,0,5
api,io.github.redouanebali.dto.request,UpdateTournamentRequest,0,3,0,0,0,1,0,1,0,1
api,io.github.redouanebali.dto.request,CreatePlayerPairRequest,9,0,0,0,4,0,1,0,1,0
api,io.github.redouanebali.dto.request,RoundRequest,0,50,0,2,0,11,0,2,0,1
api,io.github.redouanebali.controller,PublicTournamentController,113,4,0,0,26,1,7,1,7,1
api,io.github.redouanebali.controller,AdminTournamentController,249,4,18,0,46,1,22,1,13,1
api,io.github.redouanebali.dto.response,PlayerPairDTO,11,9,2,2,5,2,3,1,1,1
api,io.github.redouanebali.dto.response,TournamentDTO,56,35,20,6,13,7,14,3,2,2
api,io.github.redouanebali,PadelTournamentManagerApplication,5,3,0,0,2,1,1,1,1,1
api,io.github.redouanebali.security,SecurityUtil,8,16,1,1,3,3,2,1,1,1
api,io.github.redouanebali.security,SecurityProps,20,12,4,2,4,3,4,2,1,2
api,io.github.redouanebali.security,SecurityConfig,0,103,0,0,0,22,0,7,0,7
api,io.github.redouanebali.mapper,TournamentMapperImpl,420,326,57,21,114,81,48,17,13,13
api,io.github.redouanebali.mapper,TournamentMapper,35,97,16,10,9,22,13,4,1,3
api,io.github.redouanebali.service,TournamentService,47,191,8,12,10,41,9,16,2,13
api,io.github.redouanebali.service,PlayerPairService,50,226,14,20,9,45,18,11,4,8
api,io.github.redouanebali.service,DrawGenerationService,39,139,11,15,11,29,10,12,3,6
api,io.github.redouanebali.service,MatchFormatService,30,99,5,5,2,24,8,5,3,5
api,io.github.redouanebali.service,GameService,0,104,0,4,0,20,0,9,0,7
